kode;nama
11.06.04.2022;Lamteuba Droe
11.06.04.2023;Pulo
11.06.04.2024;Lampantee
11.06.04.2025;Lambada
11.06.04.2026;Blang Tingkeum
11.06.04.2027;Ateuk
11.06.04.2028;Lam Apeng
11.06.04.2029;Meurah
11.06.04.2030;Lampanah
11.06.04.2031;Ujong Mesjid Lampanah
11.06.04.2032;Ujong Keupula
11.06.04.2033;Leungah
11.06.04.2034;Beureunut
11.06.04.2035;Meunasah Jeumpa
11.06.04.2036;Pinto Khop
11.06.04.2037;Bak Seutui
11.06.04.2038;Bak Aghu
11.06.04.2039;Kayee Adang
11.06.04.2040;Lamkuk
11.06.04.2041;Ujong Mesjid Tanoh Abee
11.06.04.2042;Lamcarak
11.06.04.2043;Capeung Dayah
11.06.04.2044;Capeung Baroh
11.06.04.2045;Lampisang Dayah
11.06.04.2046;Lampisang Tunong
11.06.04.2047;Lampisang Teungoh
11.06.05;Montasik
11.06.05.2001;Mata Ie
11.06.05.2002;Gampong Baroh
11.06.05.2003;Lampaseh Lhok
11.06.05.2004;Lampaseh Krueng
11.06.05.2005;Lamnga
11.06.05.2006;Dayah Daboh
11.06.05.2007;Weulhok
11.06.05.2008;Kp. Alue
11.06.05.2009;Weu Krueng
11.06.05.2010;Seuban Cot
11.06.05.2011;Bak Dilib
11.06.05.2012;Ulee Lhat
11.06.05.2015;Lamraya
11.06.05.2016;Lamme Garot
11.06.05.2017;Weu Bada
11.06.05.2018;Meunasah Tutong
11.06.05.2019;Empee Tanong
11.06.05.2020;Bak Cirih
11.06.05.2021;Warabo
11.06.05.2022;Teubang Phui Mesjid
11.06.05.2023;Teubang Phui Baro
11.06.05.2024;Bira Cot
11.06.05.2025;Bira Lhok
11.06.05.2026;Bung Tujoh
11.06.05.2027;Peurumping
11.06.05.2028;Atong
11.06.05.2029;Reudeup
11.06.05.2042;Seubam Lhok
11.06.05.2043;Seumet
11.06.05.2044;Cot Seunong
11.06.05.2045;Mon Ara
11.06.05.2046;Cot Lhok
11.06.05.2047;Cot Lampoh Soh
11.06.05.2048;Bueng Raya
11.06.05.2049;Piyeung Lhang
11.06.05.2050;Piyeung Manee
11.06.05.2051;Bueng Daroh
11.06.05.2052;Kuweu
11.06.05.2053;Piyeung Datu
11.06.06;Sukamakmur
11.06.06.2001;Reuhat Tuha
11.06.06.2002;Weusiteh
11.06.06.2003;Dilib Lamteungoh
11.06.06.2004;Baet Lampuot
11.06.06.2005;Dilib Bukit
11.06.06.2006;Seumeureung
11.06.06.2007;Sibreh Keumudee
11.06.06.2008;Baet Mesago
11.06.06.2009;Baet Mesjid
11.06.06.2010;Lambaro Sibreh
11.06.06.2011;Lamgeu Baro
11.06.06.2012;Lamgeu Tuha
11.06.06.2013;Lampanah Ineu
11.06.06.2014;Tampok Jeurat Raya
11.06.06.2015;Tampok Blang
11.06.06.2016;Lamteh Dayah
11.06.06.2017;Lam Lheu
11.06.06.2018;Lambarih Jurong Raya
11.06.06.2019;Bukloh
11.06.06.2020;Niron
11.06.06.2021;Aneuk Galong Baro
11.06.06.2022;Aneuk Galong Titi
11.06.06.2023;Blang Cut
11.06.06.2024;Klieng Mayang
11.06.06.2025;Aneuk Batee
11.06.06.2026;Meunasah Tuha
11.06.06.2027;Lampisang
11.06.06.2028;Meunasah Bakthu
11.06.06.2029;Lambirah Bak Mee
11.06.06.2030;Luthu Dayah Krueng
11.06.06.2031;Luthu Lamweu
11.06.06.2032;Panterawa
11.06.06.2033;Lambirah
11.06.06.2034;Kayee Adang
11.06.06.2035;Lam Tanjong
11.06.07;Darul Imarah
11.06.07.2001;Lampeuneurut Ujong Blang
11.06.07.2002;Lampeuneurut Gampong
11.06.07.2003;Lamreung
11.06.07.2004;Lamcot
11.06.07.2005;Lam Blang Trieng
11.06.07.2006;Lam Blang Mayang
11.06.07.2007;Bayu
11.06.07.2008;Lagang
11.06.07.2009;Lamsiteh
11.06.07.2010;Lamkawe
11.06.07.2011;Lheu Blang
11.06.07.2012;Payaroh
11.06.07.2013;Lamsidaya
11.06.07.2014;Kuta Karang
11.06.07.2015;Leu Geu
11.06.07.2016;Lampeuneun
11.06.07.2017;Lamtheun
11.06.07.2018;Deunong
11.06.07.2019;Tingkuem
11.06.07.2020;Kandang
11.06.07.2021;Lam Bheu
11.06.07.2022;Daroy Kameu
11.06.07.2023;Geundrieng
11.06.07.2024;Garot
11.06.07.2025;Pasheu Beutong
11.06.07.2026;Lampasi Engking
11.06.07.2027;Jeumpet Ajun
11.06.07.2028;Gue Gajah
11.06.07.2029;Leu Ue
11.06.07.2030;Ulee Lueng
11.06.07.2031;Punie
11.06.07.2032;Ulee Tuy
11.06.08;Peukan Bada
11.06.08.2001;Lambadeuk
11.06.08.2002;Lamguron
11.06.08.2003;Lambaro Nejid
11.06.08.2004;Lampageu
11.06.08.2005;Gampong Baro
11.06.08.2006;Lam Manyang
11.06.08.2007;Lamteh
11.06.08.2008;Lam Lumpu
11.06.08.2009;Lamteungoh
11.06.08.2010;Lamtutui
11.06.08.2011;Meunasah Tuha
11.06.08.2012;Lam Awe
11.06.08.2013;Pulo Bunta
11.06.08.2014;Beuradeun
11.06.08.2015;Lampisang
11.06.08.2016;Keuneu Eu
11.06.08.2017;Lam Isek
11.06.08.2018;Lamkeumok
11.06.08.2019;Lam Rukam
11.06.08.2020;Gurah
11.06.08.2021;Rima Jeuneu
11.06.08.2022;Lam Geu Eu
11.06.08.2023;Lam Hasan
11.06.08.2024;Paya Tieng
11.06.08.2025;Ajuen
11.06.08.2026;Rima Keuneurom
11.06.09;Mesjid Raya
11.06.09.2001;Meunasah Kulam
11.06.09.2002;Beurandeh
11.06.09.2003;Ie Seum
11.06.09.2004;Meunasah Keudee
11.06.09.2005;Lamreh
11.06.09.2006;Meunasah Mon
11.06.09.2007;Paya Kameng
11.06.09.2008;Ruyung
11.06.09.2009;Ladong
11.06.09.2010;Gampong Baro
11.06.09.2011;Durung
11.06.09.2012;Neuheun
11.06.09.2013;Lamnga
11.06.10;Ingin Jaya
11.06.10.2001;Lambaro
11.06.10.2002;Meunasah Manyang Lam Garot
11.06.10.2003;Bakoy
11.06.10.2004;Meunasah Baro
11.06.10.2005;Meunasah Deyah
11.06.10.2006;Meunasah Tutong
11.06.10.2007;Siron
11.06.10.2008;Pasie Lamgarot
11.06.10.2009;Dham Ceukok
11.06.10.2010;Dham Pulo
11.06.10.2011;Leubok Sukon
11.06.10.2012;Lubok Gapuy
11.06.10.2013;Pasie Lubuk
11.06.10.2014;Bueng Ceukok
11.06.10.2015;Teubang Phuy
11.06.10.2016;Ateuk Anggok
11.06.10.2017;Ajee Rayeuk
11.06.10.2018;Ajee Cut
11.06.10.2019;Gani
11.06.10.2020;Ateuk Lueng Ie
11.06.10.2021;Cot Alue
11.06.10.2022;Cot Suruy
11.06.10.2023;Cot Bada
11.06.10.2024;Ajee Pagar Air
11.06.10.2025;Meunasah Krueng
11.06.10.2026;Jurong Peujera
11.06.10.2027;Lubok Batee
11.06.10.2028;Bineh Blang
11.06.10.2029;Pantee
11.06.10.2030;Kalut
11.06.10.2031;Meunasah Manyang Pagar Air
11.06.10.2032;Meunasah Manyet
11.06.10.2033;Santan
11.06.10.2034;Tanjong
11.06.10.2035;Reuloh
11.06.10.2041;Paleuh Blang
11.06.10.2042;Cot Mentiwan
11.06.10.2043;Lampreh Lam Jampok
11.06.10.2044;Paleuh Pulo
11.06.10.2045;Lamcot
11.06.10.2046;Lamsinyeu
11.06.10.2047;Lam Ue
11.06.10.2048;Cot Gud
11.06.10.2049;Lamdaya
11.06.10.2050;Lambada
11.06.10.2051;Ujong XII
11.06.10.2052;Bada
11.06.10.2053;Lamteungoh
11.06.10.2054;Kayee Lee
